AELEC,FELECCION,EDOCVE,EDONOM,MPIOCVE,MPIONOM,SECCION,TIPOSEC,DEF,DEL,SEXO,EDAD,LN,SV,NV,NS
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,18,27,21,6,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,19,30,19,11,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,20,24,18,6,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,21,37,24,13,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,22,20,12,8,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,23,29,15,14,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,24,19,14,5,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,25,27,16,11,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,26,25,13,12,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,27,17,10,7,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,28,20,9,11,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,29,15,6,9,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,30,22,14,8,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,31,15,10,5,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,32,13,9,4,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,33,16,13,3,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,34,17,11,6,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,35,12,10,2,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,36,8,4,4,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,37,19,13,6,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,38,6,3,3,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,39,11,5,6,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,40,13,10,3,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,41,20,14,6,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,42,13,8,5,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,43,7,7,0,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,44,10,8,2,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,45,18,13,5,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,46,17,13,4,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,47,10,9,1,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,48,18,13,5,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,49,23,19,4,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,50,21,19,2,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,51,18,16,2,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,52,20,14,6,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,53,16,12,4,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,54,12,11,1,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,55,20,15,5,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,56,8,8,0,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,57,12,12,0,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,58,10,8,2,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,59,21,16,5,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,60,14,10,4,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,61,12,9,3,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,62,13,10,3,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,63,13,11,2,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,64,7,7,0,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,65,9,8,1,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,66,13,12,1,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,67,16,13,3,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,68,6,5,1,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,69,7,7,0,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,70,6,5,1,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,71,7,5,2,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,72,8,7,1,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,73,11,11,0,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,74,1,1,0,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,75,7,7,0,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,76,3,3,0,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,77,8,7,1,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,78,5,4,1,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,79,2,2,0,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,80,3,3,0,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,81,2,1,1,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,82,3,1,2,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,83,3,3,0,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,84,1,1,0,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,87,1,0,1,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,88,1,1,0,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,89,1,0,1,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,0,91,1,0,1,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,1,18,20,19,1,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,1,19,21,16,5,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,1,20,28,18,10,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,1,21,24,15,9,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,1,22,28,18,10,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,1,23,29,23,6,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,1,24,18,12,6,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,1,25,25,13,12,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,1,26,37,22,15,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,1,27,18,13,5,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,1,28,29,19,10,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,1,29,25,12,13,0
2012,1/7/2012,1,AGUASCALIENTES,1,Aguascalientes,1,U,3,6,1,30,14,11,3,0
