AELEC,FELECCION,EDOCVE,EDONOM,MPIOCVE,MPIONOM,SECCION,TIPOSEC,DEF,DEL,SEXO,EDAD,LN,SV,NV,NS
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,18,2,2,0,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,19,5,3,2,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,20,9,9,0,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,21,10,7,3,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,22,9,3,6,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,23,9,5,4,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,24,6,3,3,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,25,6,3,3,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,26,4,4,0,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,27,10,5,5,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,28,7,3,4,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,29,7,1,6,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,30,4,2,2,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,31,10,4,6,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,32,8,4,4,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,33,8,7,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,34,4,2,2,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,35,8,5,3,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,36,7,5,2,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,37,6,4,2,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,38,10,8,2,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,39,8,6,2,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,40,8,3,5,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,41,7,4,3,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,42,8,6,2,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,43,8,5,3,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,44,4,3,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,45,9,8,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,46,4,3,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,47,9,8,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,48,7,6,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,49,10,8,2,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,50,6,5,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,51,6,6,0,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,52,7,5,2,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,53,4,3,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,54,4,3,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,55,2,2,0,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,56,2,2,0,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,57,4,2,2,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,58,5,5,0,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,59,8,4,4,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,60,1,1,0,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,61,5,4,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,62,6,4,2,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,63,2,2,0,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,64,2,2,0,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,65,3,2,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,66,1,1,0,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,67,4,3,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,68,4,3,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,69,3,2,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,70,5,4,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,71,4,3,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,72,6,5,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,73,4,3,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,74,1,1,0,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,75,1,1,0,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,76,2,2,0,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,77,3,2,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,79,2,0,2,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,80,1,1,0,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,81,2,2,0,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,82,1,1,0,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,83,1,1,0,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,84,2,0,2,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,85,2,2,0,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,86,2,2,0,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,87,3,1,2,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,88,1,1,0,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,0,94,1,0,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,18,2,2,0,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,19,7,4,3,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,20,4,4,0,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,21,9,8,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,22,3,2,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,23,12,10,2,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,24,7,6,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,25,5,3,2,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,26,8,6,2,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,27,6,4,2,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,28,3,1,2,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,29,10,5,5,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,30,13,7,6,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,31,7,4,3,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,32,7,5,2,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,33,4,2,2,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,34,10,7,3,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,35,9,8,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,36,7,5,2,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,37,4,3,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,38,8,7,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,39,8,5,3,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,40,4,4,0,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,41,9,8,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,42,9,7,2,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,43,5,4,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,44,9,8,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,45,4,3,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,46,8,4,4,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,47,4,3,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,48,3,2,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,49,5,3,2,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,50,4,2,2,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,51,5,4,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,52,3,2,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,53,5,3,2,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,54,7,4,3,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,55,5,2,3,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,56,7,6,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,57,2,1,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,58,3,3,0,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,59,5,3,2,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,60,5,3,2,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,61,4,2,2,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,62,5,3,2,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,63,3,2,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,64,7,5,2,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,65,3,2,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,66,3,2,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,67,3,2,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,68,2,2,0,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,69,2,2,0,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,71,2,2,0,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,72,4,2,2,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,73,3,2,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,74,1,1,0,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,75,5,2,3,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,76,2,2,0,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,78,9,6,3,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,79,1,0,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,80,3,2,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,81,4,1,3,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,82,1,1,0,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,83,1,0,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,84,1,1,0,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,86,1,0,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,1,M,3,5,1,92,1,1,0,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,2,M,3,5,0,18,2,2,0,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,2,M,3,5,0,19,2,2,0,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,2,M,3,5,0,20,2,1,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,2,M,3,5,0,21,3,2,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,2,M,3,5,0,22,2,2,0,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,2,M,3,5,0,23,2,1,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,2,M,3,5,0,24,2,0,2,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,2,M,3,5,0,25,2,2,0,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,2,M,3,5,0,26,2,2,0,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,2,M,3,5,0,27,2,1,1,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,2,M,3,5,0,28,3,0,3,0
2012,1/7/2012,5,COAHUILA,1,Abasolo,2,M,3,5,0,29,1,0,1,0
