AELEC,FELECCION,EDOCVE,EDONOM,MPIOCVE,MPIONOM,SECCION,TIPOSEC,DEF,DEL,SEXO,EDAD,LN,SV,NV,NS
2012,1/7/2012,24,SAN LUIS POTOSI,1,Ahualulco,1,U,1,4,0,18,11,6,5,0
2012,1/7/2012,24,SAN LUIS POTOSI,1,Ahualulco,1,U,1,4,0,19,10,8,2,0
2012,1/7/2012,24,SAN LUIS POTOSI,1,Ahualulco,1,U,1,4,0,20,14,9,5,0
2012,1/7/2012,24,SAN LUIS POTOSI,1,Ahualulco,1,U,1,4,0,21,16,10,6,0
2012,1/7/2012,24,SAN LUIS POTOSI,1,Ahualulco,1,U,1,4,0,22,17,7,10,0
2012,1/7/2012,24,SAN LUIS POTOSI,1,Ahualulco,1,U,1,4,0,23,13,2,11,0
2012,1/7/2012,24,SAN LUIS POTOSI,1,Ahualulco,1,U,1,4,0,24,13,4,9,0
2012,1/7/2012,24,SAN LUIS POTOSI,1,Ahualulco,1,U,1,4,0,25,18,7,11,0
2012,1/7/2012,24,SAN LUIS POTOSI,1,Ahualulco,1,U,1,4,0,26,17,7,10,0
2012,1/7/2012,24,SAN LUIS POTOSI,1,Ahualulco,1,U,1,4,0,27,14,6,8,0
2012,1/7/2012,24,SAN LUIS POTOSI,1,Ahualulco,1,U,1,4,0,28,20,6,14,0
2012,1/7/2012,24,SAN LUIS POTOSI,1,Ahualulco,1,U,1,4,0,29,20,9,11,0
2012,1/7/2012,24,SAN LUIS POTOSI,1,Ahualulco,1,U,1,4,0,30,13,6,7,0
2012,1/7/2012,24,SAN LUIS POTOSI,1,Ahualulco,1,U,1,4,0,31,15,7,8,0
2012,1/7/2012,24,SAN LUIS POTOSI,1,Ahualulco,1,U,1,4,0,32,18,7,11,0
2012,1/7/2012,24,SAN LUIS POTOSI,1,Ahualulco,1,U,1,4,0,33,10,3,7,0
2012,1/7/2012,24,SAN LUIS POTOSI,1,Ahualulco,1,U,1,4,0,34,9,4,5,0
2012,1/7/2012,24,SAN LUIS POTOSI,1,Ahualulco,1,U,1,4,0,35,11,6,5,0
