AELEC,FELECCION,EDOCVE,EDONOM,MPIOCVE,MPIONOM,SECCION,TIPOSEC,DEF,DEL,SEXO,EDAD,LN,SV,NV,NS
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,18,8,7,1,0
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,19,25,18,7,0
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,20,31,18,13,0
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,21,24,13,11,0
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,22,23,8,15,0
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,23,19,11,8,0
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,24,20,11,9,0
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,25,17,7,10,0
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,26,15,7,8,0
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,27,22,15,7,0
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,28,26,10,16,0
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,29,21,13,8,0
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,30,11,6,5,0
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,31,12,6,6,0
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,32,11,7,4,0
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,33,13,8,5,0
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,34,18,11,7,0
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,35,13,7,6,0
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,36,15,10,5,0
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,37,16,11,5,0
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,38,7,2,5,0
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,39,16,7,9,0
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,40,14,7,7,0
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,41,9,7,2,0
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,42,21,13,8,0
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,43,10,6,4,0
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,44,12,7,5,0
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,45,12,9,3,0
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,46,8,5,3,0
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,47,9,6,3,0
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,48,10,6,4,0
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,49,13,6,7,0
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,50,8,5,3,0
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,51,12,8,4,0
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,52,10,7,3,0
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,53,10,9,1,0
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,54,13,9,4,0
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,55,7,5,2,0
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,56,15,10,5,0
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,57,10,7,3,0
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,58,6,3,3,0
2015,7/6/2015,17,MORELOS,1,Amacuzac,1,M,4,9,0,59,4,4,0,0
