AELEC,FELECCION,EDOCVE,EDONOM,MPIOCVE,MPIONOM,SECCION,TIPOSEC,DEF,DEL,SEXO,EDAD,LN,SV,NV,NS
2015,7/6/2015,28,TAMAULIPAS,1,Abasolo,1,M,6,13,0,18,3,2,1,0
2015,7/6/2015,28,TAMAULIPAS,1,Abasolo,1,M,6,13,0,19,6,3,3,0
2015,7/6/2015,28,TAMAULIPAS,1,Abasolo,1,M,6,13,0,20,4,2,2,0
2015,7/6/2015,28,TAMAULIPAS,1,Abasolo,1,M,6,13,0,21,6,2,4,0
2015,7/6/2015,28,TAMAULIPAS,1,Abasolo,1,M,6,13,0,22,4,1,3,0
2015,7/6/2015,28,TAMAULIPAS,1,Abasolo,1,M,6,13,0,23,3,2,1,0
2015,7/6/2015,28,TAMAULIPAS,1,Abasolo,1,M,6,13,0,24,8,3,5,0
2015,7/6/2015,28,TAMAULIPAS,1,Abasolo,1,M,6,13,0,25,6,1,5,0
2015,7/6/2015,28,TAMAULIPAS,1,Abasolo,1,M,6,13,0,26,6,3,3,0
2015,7/6/2015,28,TAMAULIPAS,1,Abasolo,1,M,6,13,0,27,4,2,2,0
2015,7/6/2015,28,TAMAULIPAS,1,Abasolo,1,M,6,13,0,28,8,1,7,0
2015,7/6/2015,28,TAMAULIPAS,1,Abasolo,1,M,6,13,0,29,2,1,1,0
2015,7/6/2015,28,TAMAULIPAS,1,Abasolo,1,M,6,13,0,30,6,2,4,0
2015,7/6/2015,28,TAMAULIPAS,1,Abasolo,1,M,6,13,0,31,4,2,2,0
2015,7/6/2015,28,TAMAULIPAS,1,Abasolo,1,M,6,13,0,32,3,1,2,0
2015,7/6/2015,28,TAMAULIPAS,1,Abasolo,1,M,6,13,0,33,2,0,2,0
2015,7/6/2015,28,TAMAULIPAS,1,Abasolo,1,M,6,13,0,34,3,1,2,0
2015,7/6/2015,28,TAMAULIPAS,1,Abasolo,1,M,6,13,0,35,5,2,3,0
2015,7/6/2015,28,TAMAULIPAS,1,Abasolo,1,M,6,13,0,36,5,2,3,0
