AELEC,FELECCION,EDOCVE,EDONOM,MPIOCVE,MPIONOM,SECCION,TIPOSEC,DEF,DEL,SEXO,EDAD,LN,SV,NV,NS
2018,1/7/2018,4,CAMPECHE,1,Campeche,1,U,1,7,0,18,5,4,1,0
2018,1/7/2018,4,CAMPECHE,1,Campeche,1,U,1,7,0,19,6,5,1,0
2018,1/7/2018,4,CAMPECHE,1,Campeche,1,U,1,7,0,20,4,2,2,0
2018,1/7/2018,4,CAMPECHE,1,Campeche,1,U,1,7,0,21,5,5,0,0
2018,1/7/2018,4,CAMPECHE,1,Campeche,1,U,1,7,0,22,7,6,1,0
2018,1/7/2018,4,CAMPECHE,1,Campeche,1,U,1,7,0,23,5,4,1,0
2018,1/7/2018,4,CAMPECHE,1,Campeche,1,U,1,7,0,24,2,1,1,0
2018,1/7/2018,4,CAMPECHE,1,Campeche,1,U,1,7,0,25,5,4,1,0
2018,1/7/2018,4,CAMPECHE,1,Campeche,1,U,1,7,0,26,8,4,4,0
2018,1/7/2018,4,CAMPECHE,1,Campeche,1,U,1,7,0,27,2,2,0,0
2018,1/7/2018,4,CAMPECHE,1,Campeche,1,U,1,7,0,28,2,2,0,0
2018,1/7/2018,4,CAMPECHE,1,Campeche,1,U,1,7,0,29,3,3,0,0
2018,1/7/2018,4,CAMPECHE,1,Campeche,1,U,1,7,0,30,9,5,4,0
2018,1/7/2018,4,CAMPECHE,1,Campeche,1,U,1,7,0,31,9,6,3,0
2018,1/7/2018,4,CAMPECHE,1,Campeche,1,U,1,7,0,32,10,7,3,0
2018,1/7/2018,4,CAMPECHE,1,Campeche,1,U,1,7,0,33,5,5,0,0
2018,1/7/2018,4,CAMPECHE,1,Campeche,1,U,1,7,0,34,7,5,2,0
2018,1/7/2018,4,CAMPECHE,1,Campeche,1,U,1,7,0,35,7,4,3,0
2018,1/7/2018,4,CAMPECHE,1,Campeche,1,U,1,7,0,36,1,1,0,0
2018,1/7/2018,4,CAMPECHE,1,Campeche,1,U,1,7,0,37,3,1,2,0
2018,1/7/2018,4,CAMPECHE,1,Campeche,1,U,1,7,0,38,5,3,2,0
2018,1/7/2018,4,CAMPECHE,1,Campeche,1,U,1,7,0,39,3,1,2,0
2018,1/7/2018,4,CAMPECHE,1,Campeche,1,U,1,7,0,41,4,4,0,0
2018,1/7/2018,4,CAMPECHE,1,Campeche,1,U,1,7,0,42,4,2,2,0
2018,1/7/2018,4,CAMPECHE,1,Campeche,1,U,1,7,0,43,5,4,1,0
2018,1/7/2018,4,CAMPECHE,1,Campeche,1,U,1,7,0,44,4,3,1,0
2018,1/7/2018,4,CAMPECHE,1,Campeche,1,U,1,7,0,45,4,3,1,0
2018,1/7/2018,4,CAMPECHE,1,Campeche,1,U,1,7,0,46,4,1,3,0
