AELEC,FELECCION,EDOCVE,EDONOM,MPIOCVE,MPIONOM,SECCION,TIPOSEC,DEF,DEL,SEXO,EDAD,LN,SV,NV,NS
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,18,10,7,3,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,19,7,3,4,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,20,11,9,2,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,21,6,1,5,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,22,3,1,2,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,23,13,4,9,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,24,3,2,1,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,25,5,1,4,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,26,5,1,4,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,27,9,5,4,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,28,8,5,3,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,29,8,2,6,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,30,10,4,6,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,31,7,6,1,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,32,12,7,5,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,33,7,4,3,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,34,7,7,0,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,35,8,3,5,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,36,11,10,1,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,37,5,4,1,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,38,12,5,7,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,39,5,1,4,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,40,8,4,4,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,41,8,5,3,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,42,7,3,4,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,43,5,3,2,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,44,4,3,1,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,45,6,3,3,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,46,3,1,2,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,47,4,3,1,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,48,9,4,5,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,49,7,6,1,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,50,4,2,2,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,51,5,5,0,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,52,8,7,1,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,53,5,4,1,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,54,12,8,4,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,55,11,8,3,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,56,5,2,3,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,57,7,7,0,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,58,8,4,4,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,59,9,7,2,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,60,4,3,1,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,61,6,4,2,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,62,5,3,2,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,63,7,5,2,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,64,5,3,2,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,65,4,3,1,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,66,2,2,0,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,67,4,1,3,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,68,3,3,0,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,69,2,1,1,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,70,3,3,0,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,71,2,2,0,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,72,2,1,1,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,73,2,2,0,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,75,2,1,1,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,76,3,3,0,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,78,3,2,1,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,79,2,2,0,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,80,2,2,0,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,81,2,2,0,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,82,3,3,0,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,84,2,0,2,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,88,2,1,1,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,89,1,0,1,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,90,2,1,1,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,93,1,1,0,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,1,18,3,3,0,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,1,19,5,3,2,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,1,20,8,6,2,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,1,21,5,3,2,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,1,22,9,3,6,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,1,23,7,3,4,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,1,24,10,7,3,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,1,25,7,3,4,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,1,26,12,6,6,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,1,27,7,5,2,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,1,28,7,2,5,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,1,29,8,4,4,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,1,30,5,3,2,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,1,31,7,4,3,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,1,32,6,4,2,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,1,33,7,4,3,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,1,34,8,6,2,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,1,35,6,4,2,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,1,36,8,7,1,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,1,37,13,10,3,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,1,38,5,3,2,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,1,39,10,6,4,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,1,40,8,5,3,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,1,41,5,3,2,0
2021,6/6/2021,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,1,42,5,3,2,0
