AELEC,FELECCION,EDOCVE,EDONOM,MPIOCVE,MPIONOM,SECCION,TIPOSEC,DEF,DEL,SEXO,EDAD,LN,SV,NV,NS
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,18,46,19,27,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,19,73,16,57,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,20,90,20,70,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,21,100,34,66,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,22,118,32,86,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,23,131,32,99,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,24,123,30,93,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,25,139,37,102,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,26,159,37,122,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,27,135,33,102,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,28,134,25,109,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,29,134,26,108,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,30,102,24,78,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,31,107,22,85,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,32,93,18,75,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,33,86,21,65,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,34,83,16,67,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,35,71,16,55,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,36,77,18,59,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,37,69,10,59,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,38,67,16,51,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,39,64,14,50,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,40,66,14,52,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,41,61,19,42,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,42,64,17,47,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,43,74,24,50,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,44,64,14,50,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,45,58,18,40,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,46,73,32,41,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,47,69,32,37,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,48,84,35,49,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,49,103,46,57,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,50,86,33,53,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,51,95,37,58,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,52,86,44,42,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,53,89,46,43,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,54,63,28,35,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,55,80,27,53,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,56,52,29,23,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,57,53,26,27,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,58,61,27,34,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,59,43,22,21,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,60,41,19,22,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,61,31,12,19,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,62,36,13,23,0
2021,6/6/2021,23,QUINTANA ROO,1,Benito Juárez,1,U,3,4,0,63,18,7,11,0
