AELEC,FELECCION,EDOCVE,EDONOM,MPIOCVE,MPIONOM,SECCION,TIPOSEC,DEF,DEL,SEXO,EDAD,LN,SV,NV,NS
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,18,34,14,20,0
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,19,36,19,17,0
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,20,35,14,21,0
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,21,41,14,27,0
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,22,30,11,19,0
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,23,30,16,14,0
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,24,36,11,25,0
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,25,28,8,20,0
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,26,42,14,28,0
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,27,30,13,17,0
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,28,32,15,17,0
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,29,34,13,21,0
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,30,21,13,8,0
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,31,23,11,12,0
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,32,30,12,18,0
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,33,37,18,19,0
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,34,34,15,19,0
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,35,29,10,19,0
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,36,35,16,19,0
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,37,24,10,14,0
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,38,24,9,15,0
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,39,22,5,17,0
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,40,44,21,23,0
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,41,27,14,13,0
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,42,28,12,16,0
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,43,26,14,12,0
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,44,24,16,8,0
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,45,29,21,8,0
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,46,22,14,8,0
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,47,23,13,10,0
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,48,19,8,11,0
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,49,22,14,8,0
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,50,27,20,7,0
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,51,19,14,5,0
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,52,14,10,4,0
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,53,22,15,7,0
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,54,18,12,6,0
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,55,14,9,5,0
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,56,22,13,9,0
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,57,19,9,10,0
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,58,22,10,12,0
2021,6/6/2021,27,TABASCO,1,Balancán,1,M,1,1,0,59,11,6,5,0
