AELEC,FELECCION,EDOCVE,EDONOM,MPIOCVE,MPIONOM,SECCION,TIPOSEC,DEF,DEL,SEXO,EDAD,LN,SV,NV,NS
2024,06/02/2024,2,BAJA CALIFORNIA,2,Mexicali,233,U,2,4,1,46,1,1,0,0
2024,06/02/2024,2,BAJA CALIFORNIA,1,Ensenada,2146,U,7,16,0,47,20,11,9,0
2024,06/02/2024,2,BAJA CALIFORNIA,4,Tijuana,1635,U,4,7,0,31,13,7,6,0
2024,06/02/2024,2,BAJA CALIFORNIA,4,Tijuana,1384,U,4,7,1,22,20,5,15,0
2024,06/02/2024,2,BAJA CALIFORNIA,2,Mexicali,598,R,7,1,1,21,7,5,2,0
2024,06/02/2024,2,BAJA CALIFORNIA,4,Tijuana,1531,U,4,7,1,23,10,2,8,0
2024,06/02/2024,2,BAJA CALIFORNIA,4,Tijuana,998,U,6,10,1,45,6,3,3,0
2024,06/02/2024,2,BAJA CALIFORNIA,2,Mexicali,310,U,2,4,1,57,7,5,2,0
2024,06/02/2024,2,BAJA CALIFORNIA,4,Tijuana,870,U,5,9,1,89,2,1,1,0
2024,06/02/2024,2,BAJA CALIFORNIA,4,Tijuana,861,U,6,10,0,46,4,0,4,0
2024,06/02/2024,2,BAJA CALIFORNIA,4,Tijuana,894,U,6,10,1,29,7,2,5,0
2024,06/02/2024,2,BAJA CALIFORNIA,2,Mexicali,427,U,1,3,1,30,16,5,5,6
2024,06/02/2024,2,BAJA CALIFORNIA,1,Ensenada,184,R,3,17,0,45,2,2,0,0
2024,06/02/2024,2,BAJA CALIFORNIA,4,Tijuana,2074,U,5,8,0,86,1,0,1,0
2024,06/02/2024,2,BAJA CALIFORNIA,4,Tijuana,1885,U,8,12,1,72,1,0,1,0
2024,06/02/2024,2,BAJA CALIFORNIA,2,Mexicali,475,U,1,2,1,75,1,0,1,0
2024,06/02/2024,2,BAJA CALIFORNIA,2,Mexicali,533,U,2,4,1,50,12,6,6,0
2024,06/02/2024,2,BAJA CALIFORNIA,4,Tijuana,1792,U,8,13,1,32,29,11,11,7
2024,06/02/2024,2,BAJA CALIFORNIA,4,Tijuana,892,U,6,10,0,48,10,0,0,10
2024,06/02/2024,2,BAJA CALIFORNIA,4,Tijuana,962,U,5,9,1,36,16,11,5,0
2024,06/02/2024,2,BAJA CALIFORNIA,4,Tijuana,969,U,5,12,1,21,4,2,2,0
2024,06/02/2024,2,BAJA CALIFORNIA,2,Mexicali,255,U,2,4,1,76,2,2,0,0
2024,06/02/2024,2,BAJA CALIFORNIA,1,Ensenada,144,U,3,17,1,41,5,3,2,0
2024,06/02/2024,2,BAJA CALIFORNIA,4,Tijuana,1068,U,5,9,0,72,4,2,2,0
2024,06/02/2024,2,BAJA CALIFORNIA,1,Ensenada,70,U,3,15,0,44,3,2,1,0
2024,06/02/2024,2,BAJA CALIFORNIA,4,Tijuana,1688,U,8,13,1,30,9,3,6,0
2024,06/02/2024,2,BAJA CALIFORNIA,2,Mexicali,1665,U,7,5,0,53,15,8,7,0
2024,06/02/2024,2,BAJA CALIFORNIA,2,Mexicali,1807,M,1,,0,33,409,118,270,21
2024,06/02/2024,2,BAJA CALIFORNIA,2,Mexicali,2102,M,2,4,0,25,18,2,16,0
2024,06/02/2024,2,BAJA CALIFORNIA,2,Mexicali,2096,M,2,4,0,37,24,4,20,0
