AELEC,FELECCION,EDOCVE,EDONOM,MPIOCVE,MPIONOM,SECCION,TIPOSEC,DEF,DEL,SEXO,EDAD,LN,SV,NV,NS
2024,06/02/2024,13,HIDALGO,81,Zacualtipán de Ángeles,1605,M,1,2,0,25,23,8,15,0
2024,06/02/2024,13,HIDALGO,67,Tianguistengo,1333,M,1,2,0,32,12,9,3,0
2024,06/02/2024,13,HIDALGO,42,Molango de Escamilla,765,M,1,2,0,38,17,13,4,0
2024,06/02/2024,13,HIDALGO,42,Molango de Escamilla,765,M,1,2,0,50,18,14,4,0
2024,06/02/2024,13,HIDALGO,67,Tianguistengo,1334,M,1,2,0,82,3,1,2,0
2024,06/02/2024,13,HIDALGO,81,Zacualtipán de Ángeles,1600,M,1,2,0,92,1,0,1,0
2024,06/02/2024,13,HIDALGO,81,Zacualtipán de Ángeles,1600,M,1,2,0,81,3,2,0,1
2024,06/02/2024,13,HIDALGO,67,Tianguistengo,1334,M,1,2,0,33,11,5,1,5
2024,06/02/2024,13,HIDALGO,81,Zacualtipán de Ángeles,1604,M,1,2,0,60,11,3,2,6
2024,06/02/2024,13,HIDALGO,67,Tianguistengo,1334,M,1,2,0,42,9,2,0,7
2024,06/02/2024,13,HIDALGO,81,Zacualtipán de Ángeles,1600,M,1,2,0,36,41,13,17,11
2024,06/02/2024,13,HIDALGO,81,Zacualtipán de Ángeles,1600,M,1,2,0,47,51,17,17,17
2024,06/02/2024,13,HIDALGO,35,Lolotla,657,M,1,3,0,19,5,5,0,0
2024,06/02/2024,13,HIDALGO,10,Atlapexco,162,M,1,3,0,26,26,16,10,0
2024,06/02/2024,13,HIDALGO,13,Calnali,225,M,1,3,0,29,8,5,3,0
2024,06/02/2024,13,HIDALGO,35,Lolotla,657,M,1,3,0,30,6,1,5,0
2024,06/02/2024,13,HIDALGO,80,Yahualica,1585,M,1,3,0,44,15,11,4,0
2024,06/02/2024,13,HIDALGO,80,Yahualica,1585,M,1,3,0,56,10,9,1,0
2024,06/02/2024,13,HIDALGO,35,Lolotla,657,M,1,3,0,96,2,0,2,0
2024,06/02/2024,13,HIDALGO,53,San Felipe Orizatlán,1044,M,1,4,0,18,16,10,6,0
2024,06/02/2024,13,HIDALGO,28,Huejutla de Reyes,468,M,1,4,0,20,31,14,17,0
2024,06/02/2024,13,HIDALGO,32,Jaltocán,630,M,1,4,0,26,7,4,3,0
2024,06/02/2024,13,HIDALGO,53,San Felipe Orizatlán,1044,M,1,4,0,31,35,25,10,0
2024,06/02/2024,13,HIDALGO,28,Huejutla de Reyes,508,M,1,4,0,43,14,9,5,0
2024,06/02/2024,13,HIDALGO,28,Huejutla de Reyes,477,M,1,4,0,53,11,4,7,0
2024,06/02/2024,13,HIDALGO,28,Huejutla de Reyes,489,M,1,4,0,54,6,5,1,0
2024,06/02/2024,13,HIDALGO,28,Huejutla de Reyes,507,M,1,4,0,57,9,7,2,0
