AELEC,FELECCION,EDOCVE,EDONOM,MPIOCVE,MPIONOM,SECCION,TIPOSEC,DEF,DEL,SEXO,EDAD,LN,SV,NV,NS
2024,06/02/2024,28,TAMAULIPAS,32,Reynosa,1941,U,7,4,1,47,12,8,4,0
2024,06/02/2024,28,TAMAULIPAS,21,El Mante,465,M,6,17,1,30,25,12,13,0
2024,06/02/2024,28,TAMAULIPAS,32,Reynosa,1974,U,7,4,0,28,4,0,4,0
2024,06/02/2024,28,TAMAULIPAS,32,Reynosa,1755,U,7,5,0,20,21,12,9,0
2024,06/02/2024,28,TAMAULIPAS,25,Miguel Alemán,738,M,7,3,1,44,6,3,3,0
2024,06/02/2024,28,TAMAULIPAS,33,Río Bravo,1162,U,3,8,0,77,4,3,1,0
2024,06/02/2024,28,TAMAULIPAS,27,Nuevo Laredo,868,U,1,2,0,72,4,4,0,0
2024,06/02/2024,28,TAMAULIPAS,32,Reynosa,962,U,7,4,1,85,3,0,3,0
2024,06/02/2024,28,TAMAULIPAS,33,Río Bravo,1210,R,3,8,0,37,2,1,1,0
2024,06/02/2024,28,TAMAULIPAS,33,Río Bravo,1201,R,3,8,0,20,1,0,0,1
2024,06/02/2024,28,TAMAULIPAS,38,Tampico,1366,U,8,22,0,20,7,5,2,0
2024,06/02/2024,28,TAMAULIPAS,27,Nuevo Laredo,1820,U,1,1,1,34,7,5,2,0
2024,06/02/2024,28,TAMAULIPAS,38,Tampico,1309,U,8,21,0,30,19,6,13,0
2024,06/02/2024,28,TAMAULIPAS,41,Victoria,1600,U,5,14,0,36,23,14,9,0
2024,06/02/2024,28,TAMAULIPAS,1,Abasolo,11,R,3,13,0,70,2,2,0,0
2024,06/02/2024,28,TAMAULIPAS,9,Ciudad Madero,181,U,8,20,0,24,8,1,7,0
2024,06/02/2024,28,TAMAULIPAS,27,Nuevo Laredo,1983,U,1,1,1,77,1,0,1,0
2024,06/02/2024,28,TAMAULIPAS,43,Xicoténcatl,1721,M,6,16,1,34,14,11,3,0
2024,06/02/2024,28,TAMAULIPAS,3,Altamira,2027,U,6,18,0,72,3,2,1,0
2024,06/02/2024,28,TAMAULIPAS,35,San Fernando,1235,U,3,13,0,71,5,0,5,0
2024,06/02/2024,28,TAMAULIPAS,38,Tampico,1496,U,8,22,0,70,5,5,0,0
2024,06/02/2024,28,TAMAULIPAS,32,Reynosa,2045,U,7,5,0,22,31,5,19,7
2024,06/02/2024,28,TAMAULIPAS,42,Villagrán,1713,M,3,13,1,78,4,4,0,0
2024,06/02/2024,28,TAMAULIPAS,26,Miquihuana,746,U,5,16,1,48,3,3,0,0
2024,06/02/2024,28,TAMAULIPAS,3,Altamira,88,U,6,19,1,76,7,7,0,0
2024,06/02/2024,28,TAMAULIPAS,32,Reynosa,1948,U,7,4,0,51,5,3,2,0
2024,06/02/2024,28,TAMAULIPAS,22,Matamoros,579,U,4,12,1,39,4,3,1,0
2024,06/02/2024,28,TAMAULIPAS,27,Nuevo Laredo,1819,U,1,1,1,48,8,5,3,0
2024,06/02/2024,28,TAMAULIPAS,38,Tampico,1304,U,8,21,1,33,41,17,24,0
2024,06/02/2024,28,TAMAULIPAS,33,Río Bravo,1195,R,3,8,0,85,4,0,2,2
2024,06/02/2024,28,TAMAULIPAS,30,Padilla,922,M,3,13,0,25,20,15,5,0
2024,06/02/2024,28,TAMAULIPAS,41,Victoria,1622,U,5,15,0,70,4,4,0,0
2024,06/02/2024,28,TAMAULIPAS,35,San Fernando,1244,M,3,13,0,47,4,1,3,0
2024,06/02/2024,28,TAMAULIPAS,22,Matamoros,555,U,4,12,0,30,6,3,3,0
2024,06/02/2024,28,TAMAULIPAS,27,Nuevo Laredo,904,M,1,3,0,83,2,1,0,1
2024,06/02/2024,28,TAMAULIPAS,32,Reynosa,1065,M,2,6,0,28,18,5,11,2
2024,06/02/2024,28,TAMAULIPAS,32,Reynosa,1933,M,2,7,0,18,12,5,7,0
