AELEC,FELECCION,EDOCVE,EDONOM,MPIOCVE,MPIONOM,SECCION,TIPOSEC,DEF,DEL,SEXO,EDAD,LN,SV,NV,NS
2024,06/02/2024,31,YUCATAN,56,Oxkutzcab,707,M,5,21,1,67,3,2,1,0
2024,06/02/2024,31,YUCATAN,50,Mérida,621,U,3,6,1,61,15,7,2,6
2024,06/02/2024,31,YUCATAN,43,Kaua,227,M,1,18,0,62,12,12,0,0
2024,06/02/2024,31,YUCATAN,79,Tekax,835,U,5,20,0,64,8,7,1,0
2024,06/02/2024,31,YUCATAN,93,Tixkokob,917,M,2,15,1,25,14,12,2,0
2024,06/02/2024,31,YUCATAN,50,Mérida,294,U,4,2,0,68,9,9,0,0
2024,06/02/2024,31,YUCATAN,30,Dzitás,127,U,1,18,1,69,6,6,0,0
2024,06/02/2024,31,YUCATAN,101,Umán,993,U,5,12,0,22,9,5,4,0
2024,06/02/2024,31,YUCATAN,89,Ticul,885,U,5,21,1,70,11,5,0,6
2024,06/02/2024,31,YUCATAN,42,Kantunil,224,U,2,16,1,26,7,6,1,0
2024,06/02/2024,31,YUCATAN,44,Kinchil,230,U,5,13,0,21,26,24,2,0
2024,06/02/2024,31,YUCATAN,104,Yaxcabá,1047,R,1,18,1,41,14,12,2,0
2024,06/02/2024,31,YUCATAN,37,Huhí,170,U,2,11,0,23,26,21,5,0
2024,06/02/2024,31,YUCATAN,41,Kanasín,212,U,6,10,0,50,41,28,13,0
2024,06/02/2024,31,YUCATAN,96,Tizimín,938,U,1,17,1,51,9,9,0,0
2024,06/02/2024,31,YUCATAN,67,Seyé,781,U,2,15,1,35,18,11,1,6
2024,06/02/2024,31,YUCATAN,84,Temax,861,U,2,16,0,85,3,3,0,0
2024,06/02/2024,31,YUCATAN,102,Valladolid,1029,U,1,19,1,50,14,12,2,0
2024,06/02/2024,31,YUCATAN,50,Mérida,581,U,3,5,0,63,16,11,5,0
2024,06/02/2024,31,YUCATAN,98,Tzucacab,981,R,5,20,0,80,1,1,0,0
2024,06/02/2024,31,YUCATAN,41,Kanasín,1170,U,6,10,0,56,14,5,9,0
2024,06/02/2024,31,YUCATAN,40,Izamal,192,U,2,16,0,89,1,1,0,0
2024,06/02/2024,31,YUCATAN,96,Tizimín,946,U,1,17,0,95,1,0,1,0
2024,06/02/2024,31,YUCATAN,90,Timucuy,900,U,2,11,1,30,16,14,2,0
2024,06/02/2024,31,YUCATAN,50,Mérida,280,U,4,3,1,36,10,4,0,6
2024,06/02/2024,31,YUCATAN,50,Mérida,324,U,6,3,0,48,5,2,3,0
2024,06/02/2024,31,YUCATAN,50,Mérida,524,U,3,1,1,24,3,2,1,0
2024,06/02/2024,31,YUCATAN,61,Río Lagartos,767,M,1,17,0,18,6,6,0,0
2024,06/02/2024,31,YUCATAN,32,Espita,136,M,1,17,0,23,22,18,4,0
2024,06/02/2024,31,YUCATAN,32,Espita,141,M,1,17,0,25,16,9,7,0
2024,06/02/2024,31,YUCATAN,96,Tizimín,972,M,1,17,0,25,35,17,18,0
2024,06/02/2024,31,YUCATAN,32,Espita,141,M,1,17,0,42,13,11,2,0
2024,06/02/2024,31,YUCATAN,96,Tizimín,959,M,1,17,0,43,11,10,1,0
