AELEC,FELECCION,EDOCVE,EDONOM,MPIOCVE,MPIONOM,SECCION,TIPOSEC,DEF,DEL,SEXO,EDAD,LN,SV,NV,NS
2024,06/02/2024,32,ZACATECAS,26,Mazapil,821,R,3,12,1,40,9,8,1,0
2024,06/02/2024,32,ZACATECAS,20,Jerez,664,R,2,10,1,83,1,0,1,0
2024,06/02/2024,32,ZACATECAS,14,General Francisco R. Murguía,386,U,3,12,1,31,10,4,6,0
2024,06/02/2024,32,ZACATECAS,34,Nochistlán de Mejía,970,U,2,15,0,53,9,2,7,0
2024,06/02/2024,32,ZACATECAS,10,Fresnillo,144,U,1,7,1,59,8,3,5,0
2024,06/02/2024,32,ZACATECAS,38,Pinos,1158,R,4,14,1,36,3,3,0,0
2024,06/02/2024,32,ZACATECAS,31,Monte Escobedo,926,R,2,10,0,67,1,0,1,0
2024,06/02/2024,32,ZACATECAS,39,Río Grande,1206,U,3,17,1,64,3,3,0,0
2024,06/02/2024,32,ZACATECAS,49,Valparaíso,1531,M,1,8,0,54,6,2,4,0
2024,06/02/2024,32,ZACATECAS,5,Calera,51,U,3,9,1,47,5,4,1,0
2024,06/02/2024,32,ZACATECAS,56,Zacatecas,1851,U,3,1,0,44,2,2,0,0
2024,06/02/2024,32,ZACATECAS,17,Guadalupe,506,U,4,5,1,54,7,6,1,0
2024,06/02/2024,32,ZACATECAS,49,Valparaíso,1557,R,1,8,0,25,2,0,2,0
2024,06/02/2024,32,ZACATECAS,38,Pinos,1109,R,4,14,1,30,13,10,3,0
2024,06/02/2024,32,ZACATECAS,10,Fresnillo,243,U,1,7,0,51,5,2,3,0
2024,06/02/2024,32,ZACATECAS,25,Luis Moya,799,R,2,11,0,73,3,3,0,0
2024,06/02/2024,32,ZACATECAS,21,Jiménez del Teul,716,R,1,18,1,72,1,1,0,0
2024,06/02/2024,32,ZACATECAS,38,Pinos,1118,U,4,14,1,41,8,5,3,0
2024,06/02/2024,32,ZACATECAS,14,General Francisco R. Murguía,407,M,3,12,1,54,1,0,1,0
2024,06/02/2024,32,ZACATECAS,17,Guadalupe,543,M,4,5,1,46,20,13,7,0
2024,06/02/2024,32,ZACATECAS,42,Sombrerete,1336,M,1,18,1,92,1,0,1,0
2024,06/02/2024,32,ZACATECAS,39,Río Grande,1224,U,3,17,0,27,2,1,1,0
2024,06/02/2024,32,ZACATECAS,20,Jerez,642,U,2,10,1,20,5,0,0,5
2024,06/02/2024,32,ZACATECAS,48,Tlaltenango de Sánchez Román,1502,R,2,16,1,24,6,4,2,0
2024,06/02/2024,32,ZACATECAS,14,General Francisco R. Murguía,396,R,3,12,0,23,1,0,1,0
2024,06/02/2024,32,ZACATECAS,45,Tepechitlán,1423,R,2,16,1,37,12,10,2,0
2024,06/02/2024,32,ZACATECAS,54,Villa Hidalgo,1696,R,4,14,0,50,5,0,0,5
2024,06/02/2024,32,ZACATECAS,48,Tlaltenango de Sánchez Román,1499,U,2,16,0,33,20,5,4,11
2024,06/02/2024,32,ZACATECAS,10,Fresnillo,228,M,1,7,1,55,19,15,4,0
2024,06/02/2024,32,ZACATECAS,56,Zacatecas,1781,U,3,2,0,75,1,0,1,0
2024,06/02/2024,32,ZACATECAS,46,Tepetongo,1448,R,2,10,0,51,3,1,2,0
2024,06/02/2024,32,ZACATECAS,10,Fresnillo,318,M,1,6,0,31,36,5,31,0
2024,06/02/2024,32,ZACATECAS,10,Fresnillo,140,M,1,6,0,34,70,33,37,0
2024,06/02/2024,32,ZACATECAS,10,Fresnillo,318,M,1,6,0,44,25,9,16,0
2024,06/02/2024,32,ZACATECAS,10,Fresnillo,276,M,1,6,0,48,12,6,6,0
2024,06/02/2024,32,ZACATECAS,10,Fresnillo,318,M,1,6,0,56,18,11,7,0
2024,06/02/2024,32,ZACATECAS,10,Fresnillo,277,M,1,6,0,57,6,3,3,0
2024,06/02/2024,32,ZACATECAS,10,Fresnillo,140,M,1,6,0,61,18,13,5,0
2024,06/02/2024,32,ZACATECAS,10,Fresnillo,277,M,1,6,0,75,1,0,1,0
2024,06/02/2024,32,ZACATECAS,40,Sain Alto,1258,M,1,7,0,18,8,6,2,0
2024,06/02/2024,32,ZACATECAS,10,Fresnillo,137,M,1,7,0,20,58,28,30,0
2024,06/02/2024,32,ZACATECAS,40,Sain Alto,1258,M,1,7,0,25,4,1,3,0
2024,06/02/2024,32,ZACATECAS,10,Fresnillo,232,M,1,7,0,37,15,5,10,0
2024,06/02/2024,32,ZACATECAS,10,Fresnillo,244,M,1,7,0,41,4,4,0,0
2024,06/02/2024,32,ZACATECAS,40,Sain Alto,1256,M,1,7,0,41,13,8,5,0
2024,06/02/2024,32,ZACATECAS,10,Fresnillo,137,M,1,7,0,41,46,21,25,0
2024,06/02/2024,32,ZACATECAS,10,Fresnillo,250,M,1,7,0,50,12,5,7,0
2024,06/02/2024,32,ZACATECAS,40,Sain Alto,1262,M,1,7,0,51,6,2,4,0
2024,06/02/2024,32,ZACATECAS,40,Sain Alto,1256,M,1,7,0,61,9,5,4,0
2024,06/02/2024,32,ZACATECAS,40,Sain Alto,1274,M,1,7,0,62,6,3,3,0
2024,06/02/2024,32,ZACATECAS,10,Fresnillo,249,M,1,7,0,65,5,0,5,0
2024,06/02/2024,32,ZACATECAS,40,Sain Alto,1263,M,1,7,0,65,3,1,2,0
2024,06/02/2024,32,ZACATECAS,40,Sain Alto,1264,M,1,7,0,71,3,2,1,0
2024,06/02/2024,32,ZACATECAS,10,Fresnillo,246,M,1,7,0,75,5,5,0,0
